date,state,death
2/28/2021,MN,6483
2/28/2021,MO,7919
2/28/2021,MP,2
2/28/2021,MS,6681
2/28/2021,MT,1357
2/28/2021,NC,11212
2/28/2021,ND,1472
2/28/2021,NE,2082
2/28/2021,NH,1170
2/28/2021,NJ,23252
2/28/2021,NM,3716
2/28/2021,NV,4957
2/28/2021,NY,38497
2/28/2021,OH,17297
2/28/2021,OK,4428
2/28/2021,OR,2208
2/28/2021,PA,24021
2/28/2021,PR,2036
2/28/2021,RI,2514
2/28/2021,SC,8530
2/28/2021,SD,1888
2/28/2021,TN,11411
2/28/2021,TX,42936
2/28/2021,UT,1935
2/28/2021,VA,8552
2/28/2021,VI,25
2/28/2021,VT,204
2/28/2021,WA,4956
2/28/2021,WI,7014
2/28/2021,WV,2300
2/28/2021,WY,671
2/27/2021,AK,290
2/27/2021,AL,9930
2/27/2021,AR,5417
2/27/2021,AS,0
2/27/2021,AZ,15967
2/27/2021,CA,51821
2/27/2021,CO,5945
2/27/2021,CT,7622
2/27/2021,DC,1010
2/27/2021,DE,1418
2/27/2021,FL,31280
2/27/2021,GA,17294
2/27/2021,GU,131
2/27/2021,HI,439
2/27/2021,IA,5470
2/27/2021,ID,1859
2/27/2021,IL,22710
2/27/2021,IN,12556
2/27/2021,KS,4735
2/27/2021,KY,4625
2/27/2021,LA,9587
2/27/2021,MA,16067
2/27/2021,MD,7856
2/27/2021,ME,702
2/27/2021,MI,16508
2/27/2021,MN,6475
2/27/2021,MO,7920
2/27/2021,MP,2
2/27/2021,MS,6669
2/27/2021,MT,1356
2/27/2021,NC,11212
2/27/2021,ND,1472
2/27/2021,NE,2082
2/27/2021,NH,1170
2/27/2021,NJ,23238
2/27/2021,NM,3700
2/27/2021,NV,4957
2/27/2021,NY,38407
2/27/2021,OH,17237
2/27/2021,OK,4379
2/27/2021,OR,2206
2/27/2021,PA,23937
2/27/2021,PR,2032
2/27/2021,RI,2512
2/27/2021,SC,8498
2/27/2021,SD,1886
2/27/2021,TN,11393
2/27/2021,TX,42739
2/27/2021,UT,1929
2/27/2021,VA,8382
2/27/2021,VI,25
2/27/2021,VT,204
2/27/2021,WA,4956
2/27/2021,WI,7014
2/27/2021,WV,2297
2/27/2021,WY,671
2/26/2021,AK,290
2/26/2021,AL,9869
2/26/2021,AR,5407
2/26/2021,AS,0
2/26/2021,AZ,15897
2/26/2021,CA,51382
2/26/2021,CO,5940
2/26/2021,CT,7622
2/26/2021,DC,1009
2/26/2021,DE,1418
2/26/2021,FL,31162
2/26/2021,GA,17219
2/26/2021,GU,130
2/26/2021,HI,437
2/26/2021,IA,5463
2/26/2021,ID,1850
2/26/2021,IL,22675
2/26/2021,IN,12531
2/26/2021,KS,4735
2/26/2021,KY,4600
2/26/2021,LA,9587
2/26/2021,MA,16024
2/26/2021,MD,7838
2/26/2021,ME,701
2/26/2021,MI,16438
2/26/2021,MN,6462
2/26/2021,MO,7913
2/26/2021,MP,2
2/26/2021,MS,6638
2/26/2021,MT,1354
2/26/2021,NC,11186
2/26/2021,ND,1472
2/26/2021,NE,2078
2/26/2021,NH,1167
2/26/2021,NJ,23192
2/26/2021,NM,3685
2/26/2021,NV,4942
2/26/2021,NY,38321
2/26/2021,OH,17183
2/26/2021,OK,4320
2/26/2021,OR,2204
2/26/2021,PA,23937
2/26/2021,PR,2023
2/26/2021,RI,2502
2/26/2021,SC,8477
2/26/2021,SD,1879
2/26/2021,TN,11377
2/26/2021,TX,42575
2/26/2021,UT,1907
2/26/2021,VA,8197
2/26/2021,VI,25
2/26/2021,VT,204
2/26/2021,WA,4942
2/26/2021,WI,6999
2/26/2021,WV,2291
2/26/2021,WY,671
2/25/2021,AK,290
2/25/2021,AL,9831
2/25/2021,AR,5397
2/25/2021,AS,0
2/25/2021,AZ,15814
2/25/2021,CA,50991
